屋号・商号,屋号・商号フリガナ,業種（大分類）,業種（中分類）,主な取扱品目,地域,郵便番号,住所,電話番号,さるぼぼコイン
㈲岩田商店　配達灯油,ｲﾜﾀｼｮｳﾃﾝﾊｲﾀﾂﾄｳﾕ,小売業,ガソリンスタンド・燃料,灯油,高山,506-0824,片野町4-531,0120-545-675,利用不可
㈲岩西石油店　高山南SS,ｲﾜﾆｼｾｷﾕﾃﾝﾀｶﾔﾏﾐﾅﾐｴｽｴｽ,小売業,ガソリンスタンド・燃料,石油類・LPガス・住宅設備品,一之宮,509-3505,一之宮町3446,53-2038,利用不可
インテリア　イマイ,ｲﾝﾃﾘｱｲﾏｲ,建設業,住宅建築,内装(カーテン・ブラインド),高山,506-0004,桐生町3-64,33-4677,利用不可
Wiz hair Chou Chou,ｳｨｽﾞﾍｱｼｭｼｭ,理美容・エステ業（マッサージ業）,美容室,美容室・ハリウッドブロウリフト,高山,506-0825,石浦町7-82,77-9550,利用可能
Ｕ－ｔａｎ,ｳｰﾀﾝ,小売業,パン・菓子,天然酵母パン,国府,509-4101,国府町桐谷366-1,090-1831-5873,利用不可
上野鍼灸指圧治療院,ｳｴﾉﾊﾘｷｭｳｼｱﾂﾁﾘｮｳｲﾝ,理美容・エステ業（マッサージ業）,マッサージ,マッサージ施術,高山,506-0054,岡本町1-93-2,0577-33-6766,利用不可
ヴェルクラール,ｳﾞｪﾙｸﾗｰﾙ,飲食業,喫茶店,コーヒー・パフェ・パンケーキ,高山,506-0011,本町3-3-2,32-2288,利用可能
ウエル美容室,ｳｴﾙﾋﾞﾖｳｼﾂ,理美容・エステ業（マッサージ業）,美容室,サービス業（理美容）,高山,506-0017,朝日町33-2,32-7374,利用不可
魚幸,ｳｵｺｳ,小売業,食料品,惣菜・弁当・鮮魚,高山,506-0054,岡本町4-1-5,35-0191,利用可能
ウオスエ,ｳｵｽｴ,その他の業種,その他,駄菓子・土産用食品,高山,506-0011,本町2-28,32-0205,利用可能
㈲魚隆,ｳｵﾀｶ,飲食業,料亭,仕出し料理・宴会,清見,506-0101,清見町牧ケ洞1729,68-2301,利用可能
㈱牛丸商店,ｳｼﾏﾙｼｮｳﾃﾝ,小売業,雑貨,荒物・雑貨,高山,506-0011,本町3-16,32-0298,利用可能
牛丸整体院,ｳｼﾏﾙｾｲﾀｲｲﾝ,理美容・エステ業（マッサージ業）,整体,整体,高山,506-0825,石浦町6-416-14,36-5292,利用可能
㈲ウシマル電器,ｳｼﾏﾙﾃﾞﾝｷ,小売業,家電,家電,高山,506-0004,桐生町5-187-10,33-0233,利用可能
うちのペンション,ｳﾁﾉﾍﾟﾝｼｮﾝ,ホテル・旅館業等,旅館,宿泊,奥飛騨温泉郷,506-1422,奥飛騨温泉郷中尾,0578-89-2694,利用不可
ウッドフォーラム飛騨,ｳｯﾄﾞﾌｫｰﾗﾑﾋﾀﾞ,小売業,雑貨,家具・クラフト商品,清見,506-0102,清見町三日町165,68-2338,利用可能
打保屋乳業㈱,ｳﾂﾎﾞﾔﾆｭｳｷﾞｮｳ,小売業,食料品,食料品,高山,506-0053,昭和町3-55,32-4334,利用可能
鰻の成瀬　飛騨高山店,ｳﾅｷﾞﾉﾅﾙｾﾋﾀﾞﾀｶﾔﾏﾃﾝ,飲食業,専門料理店,鰻重,高山,506-0052,下岡本町2958-4,090-4085-1717,利用不可
うな信,ｳﾅｼﾝ,飲食業,専門料理店,鰻料理メイン その他,高山,506-0847,片原町18-2,32-0846,利用可能
㈲畦畑農機商会,ｳﾈﾊﾀﾉｳｷｼｮｳｶｲ,自動車販売・修理業,農業機械,農業機械・電動工具,高山,506-0825,石浦町7-89,32-0848,利用可能
ウフ,ｳﾌ,小売業,パン・菓子,焼きタルト,高山,506-0055,上岡本町2-196,090-7022-0835,利用可能
馬印三嶋豆本舗,ｳﾏｼﾞﾙｼﾐｼﾏﾏﾒﾎﾝﾎﾟ,小売業,パン・菓子,三嶋豆等豆菓子,高山,506-0844,上一之町103,32-1810,利用可能
うま宮,ｳﾏﾐﾔ,飲食業,麺類店,麺類 定食 焼物,高山,506-0843,下一之町89,090-4110-2539,利用可能
㈱エイチアンドシー,ｴｲﾁｱﾝﾄﾞｼｰ,建設業,住宅建築,家・イオンクラスター,高山,506-0818,江名子町3006-14,37-7868,利用可能
A・ガール（美容室）,ｴｰｶﾞｰﾙ,理美容・エステ業（マッサージ業）,美容室,カット・パーマ・カラー,国府,509-4115,国府町三日町560-1,72-4408,利用不可
A-STUDIO,ｴｰｽﾀｼﾞｵ,生活関連業,教育・学習,子ども体操教室・健康教室,高山,506-0055,上岡本町4-54,090-7300-8375,利用可能
A-Z　セレクトショップ,ｴｰｾﾞｯﾄｾﾚｸﾄｼｮｯﾌﾟ,小売業,雑貨,バッグ・雑貨,高山,506-0026,花里町3-8,32-1830,利用可能
㈱エクス,ｴｸｽ,建設業,建設,フェンス・物置・カーポート,高山,506-0032,千島町520-1,34-2322,利用可能
ｅｃｌａｔ,ｴｸﾗ,理美容・エステ業（マッサージ業）,美容室,美容室,高山,506-0013,有楽町30,090-2777-5572,利用不可
エス･ディ・ピー研究室,ｴｽ･ﾃﾞｨ･ﾋﾟｰｹﾝｷｭｳｼﾂ,建設業,住宅建築,店舗・住宅・リフォーム,高山,506-0053,昭和町1-165-１,57-9335,利用不可
エス･ディ・ピー洋服のなおし屋さん,ｴｽ･ﾃﾞｨ･ﾋﾟｰﾖｳﾌｸﾉﾅｵｼﾔｻﾝ,その他の業種,その他,服の修理,高山,506-0053,昭和町1-165-１,57-9335,利用不可
エステサロンRiMaMi　リ・マミ,ｴｽﾃｻﾛﾝﾘ･ﾏﾐ,理美容・エステ業（マッサージ業）,エステ,エステティック,高山,506-0058,山田町1178-7　みっちゃんち内,57-8186,利用可能
エスニック・マーケット　アララテ,ｴｽﾆｯｸﾏｰﾄｱﾗﾗﾃ,小売業,衣料品・履物,衣料品、雑貨,高山,506-0011,本町2-26,32-3736,利用可能
es hair,ｴｽﾍｱ,理美容・エステ業（マッサージ業）,美容室,美容室,高山,506-0008,初田町2-1,77-9589,利用不可
えちご整体院,ｴﾁｺﾞｾｲﾀｲｲﾝ,理美容・エステ業（マッサージ業）,整体,整体,高山,506-0033,越後町1075,090-1277-0561,利用不可
㈲エニー・エス・イー,ｴﾆｰ･ｴｽ･ｲｰ,建設業,設備,電気工事・エアコン工事,高山,506-0041,下切町652,33-6605,利用不可
㈱エニウェイ,ｴﾆｳｪｲ,生活関連業,教育・学習,職業訓練他,高山,506-0054,岡本町3-206,37-7636,利用不可
Enejet 高山桐生給油所,ｴﾈｼﾞｪｯﾄﾀｶﾔﾏｷﾘｭｳｷｭｳﾕｼｮ,小売業,ガソリンスタンド・燃料,ガソリンスタンド・車検・タイヤ,高山,506-0004,桐生町7-74,37-0202,利用可能
Enejet 高山新宮給油所,ｴﾈｼﾞｪｯﾄﾀｶﾔﾏｼﾝｸﾞｳｷｭｳﾕｼｮ,小売業,ガソリンスタンド・燃料,ガソリンスタンド・車検・タイヤ,高山,506-0035,新宮町1615-1,36-0456,利用可能
Enejet　高山バイパス給油所,ｴﾈｼﾞｪｯﾄﾀｶﾔﾏﾊﾞｲﾊﾟｽｷｭｳﾕｼｮ,小売業,ガソリンスタンド・燃料,ガソリンスタンド,高山,506-0002,問屋町69,33-9311,利用不可
㈲榎建築,ｴﾉｷｹﾝﾁｸ,建設業,住宅建築,住宅建築,久々野,509-3202,久々野町小屋名1136-1,52-3257,利用不可
恵の久,ｴﾉｷｭｳ,飲食業,日本料理店,料理・仕出し,高山,506-0842,下二之町35,32-0657,利用不可
ＥＮＯＮ,ｴﾉﾝ,理美容・エステ業（マッサージ業）,美容室,ヘアｰ・エステ・美容脱毛,高山,506-0054,岡本町3-207-10,35-9133,利用不可
Episia,ｴﾋﾟｼｱ,理美容・エステ業（マッサージ業）,美容サロン,脱毛,高山,506-0824,片野町2-225,090-2285-9939,利用可能
手打ちそば　恵比寿,ｴﾋﾞｽ,飲食業,麺類店,そば,高山,506-0845,上二之町46,32-0209,利用可能
㈱ｅｆｕ,ｴﾌ,自動車販売・修理業,自動車,自動車関連（販売・修理）,高山,506-0043,中切町277-2,57-9855,利用可能
エブリ東山店,ｴﾌﾞﾘﾋｶﾞｼﾔﾏﾃﾝ,小売業,スーパー,食料品,高山,506-0802,松之木町283-1,37-0085,利用可能
エブリフレスポ店,ｴﾌﾞﾘﾌﾚｽﾎﾟﾃﾝ,小売業,スーパー,食料品,高山,506-0025,天満町1-4,33-8138,利用可能
絵本の雑貨　雷鳥屋,ｴﾎﾝﾉｻﾞｯｶﾗｲﾁｮｳﾔ,小売業,雑貨,キャラクター雑貨,高山,506-0844,上一之町26-3,34-3601,利用不可
emu,ｴﾐｭｰ,理美容・エステ業（マッサージ業）,美容サロン,ネイル施術サービス,国府,509-4111,国府町山本529-5,090-5457-2274,利用不可
㈲M・Eトーク,ｴﾑ･ｲｰﾄｰｸ,小売業,その他小売り,パソコン・タブレット・プリンター,高山,506-0004,桐生町3-230,35-1011,利用可能
エム・デュー,ｴﾑ･ﾃﾞｭｰ,理美容・エステ業（マッサージ業）,美容室,美容全般,高山,506-0054,岡本町4-300-3,37-0682,利用不可
ｍ　Ｂｅｒｒｙ　Ｆａｒｍ,ｴﾑﾍﾞﾘｰﾌｧｰﾑ,その他の業種,その他,イチゴおよびイチゴの加工品,高山,506-0001,冬頭町100,080-3680-8552,利用不可
恵村,ｴﾑﾗ,その他の業種,その他,コンパニオン,高山,506-0057,匠ケ丘町66-2,35-0026,利用不可
m-room,ｴﾑﾙｰﾑ,理美容・エステ業（マッサージ業）,エステ,エステ、オーガニックコスメ,高山,506-0003,本母町444-3,080-3246-6306,利用可能
m-room,ｴﾑﾙｰﾑ,理美容・エステ業（マッサージ業）,美容室,美容室、商品,高山,506-0003,本母町444-3,70-8300,利用可能
エリーズキッチン,ｴﾘｰｽﾞｷｯﾁﾝ,小売業,パン・菓子,焼き菓子,高山,506-0004,桐生町8丁目537,080-3070-8537,利用可能
㈱LBアルミ建材,ｴﾙﾋﾞｰｱﾙﾐｹﾝｻﾞｲ,建設業,資材,住宅アルミ建材,高山,506-0004,桐生町4-479,62-8666,利用不可
AL Brewer's Beer Stand,ｴﾙﾌﾞﾙﾜｰｽﾞﾋﾞｱｽﾀﾝﾄﾞ,飲食業,酒場,クラフトビール,高山,506-0011,本町3-52,070-4076-7558,利用不可
縁,ｴﾝ,飲食業,日本料理店,飲食店,高山,506-0842,下二之町54,36-5556,利用不可
エンジェルムーン,ｴﾝｼﾞｪﾙﾑｰﾝ,小売業,その他小売り,天然石,高山,506-0055,上岡本町3-344,62-9357,利用可能
㈲遠州水産,ｴﾝｼｭｳｽｲｻﾝ,小売業,食料品,煮いか、塩いか,丹生川,506-2123,丹生川町町方1224-3,78-1576,利用可能
entrance1291,ｴﾝﾄﾗﾝｽｲﾁﾆｷｭｳｲﾁ,小売業,その他小売り,ポケモンカードゲーム,朝日,509-3325,朝日町万石82-2SUN SUNハウス内,090-6761-4284,利用可能
entrance1291,ｴﾝﾄﾗﾝｽｲﾁﾆｷｭｳｲﾁ,その他の業種,その他,結婚相談サービス・カードゲーム,朝日,509-3301,朝日町青屋1435,090-6761-4284,利用可能
EMBER espresso,ｴﾝﾊﾞｰｴｽﾌﾟﾚｯｿ,飲食業,喫茶店,コーヒーと焼き菓子,高山,506-0842,下二之町48番地2,070-4132-3481,利用可能
enmer Assiette dessert,ｴﾝﾒﾙｱｼｪｯﾄﾃﾞｾｰﾙ,飲食業,喫茶店,デザートやパフェ,高山,506-0851,大新町2-15-3,070-3890-1234,利用不可
塩谷治療院,ｴﾝﾔﾁﾘｮｳｲﾝ,理美容・エステ業（マッサージ業）,マッサージ,マッサージ,高山,506-0006,神田町1-77-11,32-2721,利用不可
桜華苑,ｵｳｶｴﾝ,飲食業,焼肉店,焼肉・丼物・麺類,国府,509-4119,国府町広瀬町509-1,72-4141,利用可能
黄金月,ｵｳｺﾞﾝﾂｷ,小売業,パン・菓子,和菓子,高山,506-0843,下一之町65-1,0577-54-1226,利用不可
欧風カレー工房　チロル,ｵｳﾌｳｶﾚｰｺｳﾎﾞｳﾁﾛﾙ,飲食業,レストラン,欧風カレー・デザート,清見,506-0101,清見町牧ケ洞1953-9,68-3733,利用不可
㈲大笠商事,ｵｵｶﾞｻｼｮｳｼﾞ,小売業,その他小売り,文具・雑貨・ギフト,高山,506-0002,問屋町55,34-0123,利用可能
大方商店,ｵｵｶﾀｼｮｳﾃﾝ,小売業,ガソリンスタンド・燃料,燃料油・釣り具,上宝,506-1302,上宝町長倉666-18,0578-86-2433,利用不可
大上整体療院,ｵｵｶﾐｾｲﾀｲﾘｮｳｲﾝ,理美容・エステ業（マッサージ業）,整体,整体,高山,506-0004,桐生町4-87-1,35-2131,利用不可
オークヴィレッジ㈱,ｵｰｸｳﾞｨﾚｯｼﾞ,小売業,家具,木製家具・小物・木造住宅,清見,506-0101,清見町牧ケ洞846,68-2244,利用可能
大倉食料品店,ｵｵｸﾗｼｮｸﾘｮｳﾋﾝﾃﾝ,小売業,食料品,果物・菓子・ケーキ･贈答品,高山,506-0011,本町3-3-2,32-2288,利用可能
㈲大下設備工業,ｵｵｼﾀｾﾂﾋﾞｺｳｷﾞｮｳ,建設業,管工事,トイレ・ボイラー・設備機器,上宝,506-1317,上宝町本郷2622-2,0578-86-2413,利用不可
大乗坊治療院,ｵｵｼﾞｮｳﾎﾞｳﾁﾘｮｳｲﾝ,理美容・エステ業（マッサージ業）,マッサージ,鍼灸マッサージ,丹生川,506-2123,丹生川町町方1397-1　ﾒｲﾌﾟﾙﾊｲﾑⅡ202,78-2540,利用不可
土産処　おおたか,ｵｵﾀｶ,小売業,その他小売り,土産品,高山,506-0026,花里町6-34,37-3300,利用可能
太田商店,ｵｵﾀｼｮｳﾃﾝ,小売業,酒屋,酒屋・菓子・米,国府,509-4121,国府町宇津江2243-59,72-2315,利用不可
オータム吉日,ｵｰﾀﾑｷﾁｼﾞﾂ,小売業,雑貨,喫茶･スパイスカレー･古道具,高山,506-0842,下二之町59-2,090-3277-4661,利用不可
㈲大坪石油,ｵｵﾂﾎﾞｾｷﾕ,小売業,ガソリンスタンド・燃料,ガソリン・菓子・パン等,清見,506-0205,清見町夏厩867-1,67-3232,利用不可
オートガレージ　ふじ,ｵｰﾄｶﾞﾚｰｼﾞﾌｼﾞ,自動車販売・修理業,自動車,自動車販売・修理,高山,506-0055,上岡本町7-360,77-9410,利用可能
Auto  Sky,ｵｰﾄｽｶｲ,自動車販売・修理業,自動車,自動車販売・修理,一之宮,509-3505,一之宮町4905-2,53-2839,利用不可
㈲オートボディーツタ,ｵｰﾄﾎﾞﾃﾞｨｰﾂﾀ,自動車販売・修理業,自動車,自動車板金塗装・防錆,高山,506-0052,下岡本町2945,36-1314,利用可能
㈲オートリニューカジタ,ｵｰﾄﾘﾆｭｰｶｼﾞﾀ,自動車販売・修理業,自動車,自動車鈑金塗装,高山,506-0807,三福寺町441-2,33-6955,利用可能
㈱オートリメッサ,ｵｰﾄﾘﾒｯｻ,自動車販売・修理業,自動車,自動車販売・修理,国府,509-4119,国府町広瀬町753-13,72-4644,利用不可
オートレジデェンス,ｵｰﾄﾚｼﾞﾃﾞｪﾝｽ,その他の業種,その他,スマホコーティング,高山,506-0808,松本町72-1　1F,35-9145,利用可能
大野製麺所,ｵｵﾉｾｲﾒﾝｼﾞｮ,小売業,食料品,麺類の販売,高山,506-0012,八軒町3-43,32-1443,利用不可
大のや　三之町本店,ｵｵﾉﾔｻﾝﾉﾏﾁﾎﾝﾃﾝ,小売業,食料品,味噌･醤油･白酒,高山,506-0846,上三之町13,32-0480,利用不可
大のや　本町店,ｵｵﾉﾔﾎﾝﾏﾁﾃﾝ,小売業,食料品,味噌･醤油･白酒,高山,506-0011,本町2-74,32-1636,利用不可
クラフト＆カフェ　オープンハウス木の香,ｵｰﾌﾟﾝﾊｳｽｷﾉｺ,生活関連業,その他各種教室,クラフト体験及び材料、商品他,国府,509-4121,国府町宇津江1153-1,72-5092,利用不可
オーベルジュ　飛騨の森,ｵｰﾍﾞﾙｼﾞｭﾋﾀﾞﾉﾓﾘ,ホテル・旅館業等,ホテル,宿泊・レストラン,高山,506-0035,新宮町3349-1,34-6575,利用可能
㈱大洞水道,ｵｵﾎﾞﾗｽｲﾄﾞｳ,建設業,設備,ボイラー・衛生器具,高山,506-0035,新宮町1557-2,34-0399,利用不可
大前牛肉店,ｵｵﾏｴｷﾞｭｳﾆｸﾃﾝ,小売業,食料品,食肉販売,高山,506-0011,本町2-50-1,32-0868,利用可能
㈱大前工務店,ｵｵﾏｴｺｳﾑﾃﾝ,建設業,住宅建築,住宅建築,高山,506-0058,山田町1161-15,32-1288,利用不可
おおみち,ｵｵﾐﾁ,小売業,その他小売り,喫煙具･せんべい・ジュース,高山,506-0011,本町2-56,33-4661,利用可能
㈲大宮自動車,ｵｵﾐﾔｼﾞﾄﾞｳｼｬ,自動車販売・修理業,自動車,新車･中古車販売、車検一般修理,久々野,509-3205,久々野町久々野2167,52-2511,利用不可
大もり　ラーメン,ｵｵﾓﾘﾗｰﾒﾝ,飲食業,麺類店,ラーメン,高山,506-0824,片野町3丁目121番地の2,36-5512,利用不可
(資)大家板金工業,ｵｵﾔﾊﾞﾝｷﾝｺｳｷﾞｮｳ,建設業,住宅建築,屋根・壁・雨樋・落雪ストップ,高山,506-0006,神田町1-77-6,32-1827,利用不可
岡田建築,ｵｶﾀﾞｹﾝﾁｸ,建設業,住宅建築,住宅建築,奥飛騨温泉郷,506-1432,奥飛騨温泉郷一重ケ根681,0578-89-2410,利用不可
小川商店,ｵｶﾞﾜｼｮｳﾃﾝ,小売業,食料品,食料品,荘川,501-5404,荘川町黒谷4-1,05769-2-2053,利用不可
おぎ傳,ｵｷﾞﾃﾞﾝ,小売業,その他小売り,新・古美術、諸道具,高山,506-0055,上岡本町7-301,36-1391,利用不可
沖村家 みちや寿し　,ｵｷﾑﾗﾔﾐﾁﾔｽｼ,飲食業,すし店,鮨,高山,506-0014,相生町25,32-0383,利用不可
㈱奥田石材,ｵｸﾀﾞｾｷｻﾞｲ,小売業,仏壇・仏具・墓石,墓石・建築石材・花立て,高山,506-0035,新宮町2498-1,33-9601,利用不可
奥田石材施工,ｵｸﾀﾞｾｷｻﾞｲｾｺｳ,小売業,仏壇・仏具・墓石,石材,丹生川,506-2124,丹生川町新張946-7,78-2721,利用不可
㈲奥原電気,ｵｸﾊﾗﾃﾞﾝｷ,小売業,家電,家電販売・修理・電気工事,高山,506-0025,天満町4-9,34-3388,利用可能
奥飛騨温泉郷オートキャンプ場,ｵｸﾋﾀﾞｵﾝｾﾝｺﾞｳｵｰﾄｷｬﾝﾌﾟｼﾞｮｳ,ホテル・旅館業等,その他宿泊施設,キャンプ宿泊,奥飛騨温泉郷,506-1427,奥飛騨温泉郷田頃家11番地1,0578-89-3410,利用可能
奥飛騨FoodsMarket,ｵｸﾋﾀﾞﾌｰｽﾞﾏｰｹｯﾄ,小売業,スーパー,生鮮食料品他,奥飛騨温泉郷,506-1431,奥飛騨温泉郷村上25,0578-84-0803,利用不可
奥穂飯店,ｵｸﾎﾊﾝﾃﾝ,飲食業,中華料理店,中華料理,国府,509-4116,国府町上広瀬43,72-2333,利用不可
お好み焼き　あんと,ｵｺﾉﾐﾔｷｱﾝﾄ,飲食業,その他飲食店,お好み焼き・焼きそば,高山,506-0054,岡本町2-106-1,32-1535,利用可能
オザキチリョウショ,ｵｻﾞｷﾁﾘｮｳｼｮ,理美容・エステ業（マッサージ業）,マッサージ,指圧整体はり,国府,509-4119,国府町広瀬町1092,72-2019,利用可能
㈲尾﨑餅店,ｵｻｷﾓﾁﾃﾝ,小売業,食料品,餅・和菓子,国府,509-4115,国府町三日町403-1,72-2329,利用不可
おしゃれサロン　マツモト,ｵｼｬﾚｻﾛﾝﾏﾂﾓﾄ,理美容・エステ業（マッサージ業）,理容室,理容業全般、カツラ取扱い,国府,509-4119,国府町広瀬町916-1,72-3302,利用不可
おしゃれの館　ボン,ｵｼｬﾚﾉﾔｶﾀﾎﾞﾝ,理美容・エステ業（マッサージ業）,理容室,理容店,高山,506-0054,岡本町1-257,33-3544,利用不可
